index,mat_size_geometry,Problem,TrainSize,n_iters,TestSize,NumDimensions,SeriesLength,NumClasses,Normalised,Padded,MissingValues,ClassCounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,156.816,ArticularyWordRecognition,275,1.009443217,300,9,144,25,TRUE,FALSE,FALSE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.216,AtrialFibrillation,15,14.27767076,15,2,640,3,FALSE,FALSE,FALSE,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.6,BasicMotions,40,5.475264052,40,6,100,4,FALSE,FALSE,FALSE,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6697.951042,CharacterTrajectories,1422,0.207105916,1436,3,182,20,FALSE,FALSE,FALSE,85,70,71,78,93,69,63,87,62,65,70,65,62,59,66,65,77,62,68,85,86,71,71,79,93,69,64,87,63,65,71,66,62,60,67,66,78,63,69,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1671.228418,Cricket,108,2.726698683,72,6,1197,12,TRUE,FALSE,FALSE,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.225,DuckDuckGeese,50,7.259056053,50,1345,270,5,FALSE,FALSE,FALSE,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,529898.301,EigenWorms,128,2.789159185,131,6,17984,5,FALSE,FALSE,FALSE,55,22,17,22,12,55,22,18,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,79.6481284,Epilepsy,137,1.798433957,138,3,206,4,FALSE,FALSE,FALSE,34,37,36,30,34,37,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.38025,ERing,30,6.486824338,270,4,65,6,FALSE,FALSE,FALSE,5,5,5,5,5,5,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20885.90541,EthanolConcentration,261,1.175679676,263,3,1751,4,FALSE,FALSE,FALSE,65,65,66,65,66,66,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13335.64324,FaceDetection,5890,0.065542186,3524,144,62,2,FALSE,FALSE,FALSE,2945,2945,1762,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,24.964,FingerMovements,316,0.893325177,100,28,50,2,FALSE,FALSE,FALSE,159,157,49,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,409.6,HandMovementDirection,160,1.814431242,74,10,400,4,FALSE,FALSE,FALSE,40,40,40,40,14,30,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,51.984,Handwriting,150,1.611685367,850,3,152,26,TRUE,FALSE,FALSE,8,6,9,4,5,9,6,2,3,7,2,5,7,4,8,5,6,6,3,5,5,10,4,4,6,11,36,34,29,43,34,30,29,32,27,26,25,37,40,35,29,33,32,31,33,31,34,43,32,37,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,
14,682.60644,Heartbeat,204,1.642748781,205,61,405,2,FALSE,FALSE,FALSE,57,147,57,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81000,InsectWingbeat,30000,0.013758788,20000,200,30,10,FALSE,FALSE,FALSE,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6.13089,JapaneseVowels,270,0.920915372,370,12,29,9,FALSE,FALSE,FALSE,30,30,30,30,30,30,30,30,30,31,35,88,44,29,24,40,50,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.561,Libras,180,1.169309726,180,2,45,15,FALSE,FALSE,FALSE,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,783.6498576,LSST,2459,0.116413426,2466,6,36,14,FALSE,FALSE,FALSE,34,123,270,381,62,7,153,23,313,68,120,777,77,51,35,124,270,382,63,7,153,24,313,68,121,777,77,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,69555.6,MotorImagery,278,1.389810436,100,64,3000,2,FALSE,FALSE,FALSE,139,139,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8.42724,NATOPS,180,1.484181645,180,24,51,6,FALSE,FALSE,FALSE,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,147.8248704,PEMS-SF,267,1.417322105,173,963,144,7,FALSE,FALSE,FALSE,32,32,38,42,43,36,44,30,25,26,23,22,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,359.4242304,PenDigits,7494,0.033886,3498,2,8,10,FALSE,FALSE,FALSE,780,779,780,719,780,720,720,778,719,719,363,364,364,336,364,335,336,364,336,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,51747.1616,PhonemeSpectra,3315,0.104047299,3353,11,217,39,FALSE,FALSE,FALSE,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85
23,2.05209,RacketSports,151,1.468294521,152,6,30,4,FALSE,FALSE,FALSE,39,43,35,34,40,43,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5766.145638,SelfRegulationSCP1,268,1.148991428,293,6,896,2,FALSE,FALSE,FALSE,135,133,147,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5308.416,SelfRegulationSCP2,200,1.551895129,180,7,1152,2,FALSE,FALSE,FALSE,100,100,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,37663.62818,SpokenArabicDigits,6599,0.052295078,2199,13,93,10,FALSE,FALSE,FALSE,660,660,660,660,660,660,660,660,660,659,220,220,220,220,220,220,220,220,220,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,90,StandWalkJump,12,21.16325519,15,4,2500,3,FALSE,FALSE,FALSE,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,142.884,UWaveGestureLibrary,120,2.106088773,320,3,315,8,TRUE,FALSE,FALSE,15,15,15,15,15,15,15,15,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
